site,date,lat,lon,elev,lat_deg,lat_min,lat_sec,lon_deg,lon_min,lon_sec
1,4/19/2022,65.53591944,-38.96666667,750,65,32,9.31,38,58,
2,4/22/2022,67.09773333,-49.3242,1124,67,5,51.84,49,19,27.12
3,4/24/2022,66.99133056,-48.70314722,1323,66,59,28.79,48,42,11.33
4,4/25/2022,66.94765278,-48.49058333,1398,66,56,51.55,48,29,26.1
5,4/27/2022,66.84098611,-48.00269444,1572,66,50,27.55,48,0,9.7
6,4/30/2022,66.70445556,-47.3623,1808,66,42,16.04,47,21,44.28
7,5/1/2022,66.64184444,-47.05060278,1898,66,38,30.64,47,3,2.17
8,5/6/2022,66.32371389,-45.74183889,2238,66,19,25.37,45,44,30.62
9,5/9/2022,66.02701944,-45.12624167,2362,66,1,37.27,45,7,34.47
10,5/11/2022,65.99634444,-44.51113333,2463,65,59,46.84,44,30,40.08